iter	MultiClass
0	3.106797468
1	3.074488616
2	3.040599909
3	3.00997821
4	2.979438268
5	2.951128364
6	2.917879394
7	2.886299407
8	2.855205118
9	2.82367933
10	2.79191202
11	2.76174557
12	2.730119531
13	2.698951156
14	2.668608989
15	2.639719812
16	2.611161213
17	2.585137592
18	2.558448533
19	2.526659258
20	2.499818174
21	2.473270372
22	2.445638762
23	2.418759042
24	2.389193773
25	2.362240341
26	2.333499443
27	2.304610117
28	2.27769628
29	2.249806463
30	2.223238649
31	2.197244251
32	2.169343254
33	2.143662657
34	2.117434996
35	2.086456295
36	2.060567221
37	2.032277556
38	2.002714039
39	1.979659161
40	1.954671364
41	1.929989805
42	1.900591513
43	1.877584019
44	1.852819209
45	1.826147511
46	1.799987275
47	1.775388106
48	1.750760552
49	1.728451678
50	1.706067007
51	1.684626468
52	1.663171112
53	1.640491288
54	1.621710092
55	1.602420449
56	1.580988766
57	1.559657745
58	1.535077956
59	1.51375601
60	1.492008733
61	1.471439557
62	1.449292952
63	1.426517167
64	1.403415425
65	1.37922674
66	1.35344315
67	1.331836099
68	1.313050127
69	1.291080735
70	1.26553207
71	1.249248075
72	1.23018916
73	1.216197785
74	1.196917426
75	1.180207967
76	1.161953303
77	1.138509804
78	1.12248381
79	1.104603537
80	1.088962653
81	1.072766256
82	1.062316669
83	1.043388099
84	1.032261173
85	1.022633635
86	1.005579692
87	0.987981271
88	0.9712415703
89	0.9580663473
90	0.9442795535
91	0.9366974055
92	0.9269056844
93	0.9145430153
94	0.9034506053
95	0.88834541
96	0.8763791613
97	0.8648201602
98	0.8552275536
99	0.8422794695
100	0.8304013441
101	0.8170034423
102	0.8055861086
103	0.7960016353
104	0.7869643494
105	0.7751025632
106	0.7664124167
107	0.7593447769
108	0.7527053629
109	0.7405927587
110	0.7362432297
111	0.7274188998
112	0.721989792
113	0.71264582
114	0.7021867723
115	0.6969488671
116	0.6861981093
117	0.6789907173
118	0.6706930445
119	0.6613650222
120	0.6530165203
121	0.6450222981
122	0.6380882385
123	0.631651442
124	0.6211797259
125	0.6127266299
126	0.6067722665
127	0.6001970625
128	0.596327045
129	0.5873582005
130	0.5797429307
131	0.5723327583
132	0.5698849082
133	0.5614323298
134	0.5569684146
135	0.5502958903
136	0.5433678941
137	0.5365448337
138	0.5332843928
139	0.5270631053
140	0.5220388524
141	0.5186763807
142	0.5142404437
143	0.5113706888
144	0.504841806
145	0.499330273
146	0.4957058051
147	0.493088944
148	0.4886938544
149	0.485269755
150	0.4807153695
151	0.4755513489
152	0.4690404507
153	0.4649030525
154	0.4592455733
155	0.4563561321
156	0.4523024904
157	0.4493565855
158	0.443911872
159	0.4392873984
160	0.4349817212
161	0.4311097257
162	0.4273626538
163	0.4242810651
164	0.4219561457
165	0.4202242457
166	0.4168375958
167	0.4143613329
168	0.4094911886
169	0.4048280276
170	0.4005249517
171	0.3968799027
172	0.3937002985
173	0.3890061468
174	0.3873702123
175	0.3832157539
176	0.3791591268
177	0.3771107937
178	0.3731137611
179	0.3708021987
180	0.3678438837
181	0.364904254
182	0.3621590538
183	0.3593589482
184	0.3583360712
185	0.3549245705
186	0.3526790289
187	0.3507667277
188	0.3470275567
189	0.3453270049
190	0.3413590944
191	0.339669433
192	0.337388182
193	0.3345444394
194	0.3330016018
195	0.329501509
196	0.3280540311
197	0.3253062738
198	0.3238135678
199	0.3217980705
