Model,Val Accuracy,Macro F1,Weighted F1,CV Mean,CV Std,Train Time (s)
Random Forest,0.6333333333333333,0.45185185185185184,0.5588888888888889,0.40714285714285714,0.04999999999999999,0.54
SVM-Linear,0.5,0.3101569713758079,0.3988304093567251,0.32857142857142857,0.0,0.03
LightGBM,0.4666666666666667,0.2960978835978836,0.3711507936507937,0.22142857142857142,0.04999999999999999,0.86
Gaussian NB,0.43333333333333335,0.26015037593984963,0.3271428571428571,0.15714285714285714,0.0,0.0
Logistic Regression,0.43333333333333335,0.2809081527347781,0.35620915032679734,0.35,0.035714285714285726,0.09
SVM-RBF,0.4,0.2308080808080808,0.2724242424242424,0.17857142857142855,0.03571428571428571,2.21
XGBoost,0.36666666666666664,0.19814814814814813,0.2744444444444445,0.3,0.01428571428571429,1.91
KNN (k=5),0.3333333333333333,0.16838827838827836,0.23050061050061052,0.25,0.007142857142857131,0.0
CatBoost,0.3333333333333333,0.1555023923444976,0.2313131313131313,0.2785714285714286,0.03571428571428571,19.46
SVM-Poly,0.16666666666666666,0.015873015873015872,0.04761904761904761,0.14285714285714285,0.0,0.04
