iter	Passed	Remaining
0	50	10029
1	100	9917
2	147	9707
3	196	9629
4	245	9570
5	294	9519
6	344	9510
7	394	9479
8	444	9426
9	494	9395
10	543	9335
11	592	9276
12	640	9210
13	688	9152
14	736	9082
15	785	9032
16	834	8978
17	884	8946
18	934	8901
19	985	8865
20	1035	8827
21	1084	8778
22	1133	8724
23	1182	8672
24	1231	8617
25	1280	8568
26	1330	8522
27	1382	8489
28	1432	8449
29	1483	8403
30	1531	8351
31	1580	8298
32	1629	8247
33	1679	8200
34	1728	8146
35	1777	8095
36	1825	8043
37	1874	7989
38	1923	7941
39	1973	7893
40	2022	7844
41	2074	7803
42	2125	7760
43	2176	7718
44	2227	7672
45	2277	7624
46	2328	7578
47	2381	7539
48	2430	7491
49	2481	7443
50	2531	7395
51	2582	7348
52	2632	7300
53	2682	7251
54	2730	7198
55	2780	7150
56	2829	7098
57	2879	7049
58	2929	7000
59	2979	6951
60	3030	6906
61	3081	6858
62	3131	6808
63	3181	6761
64	3231	6712
65	3281	6663
66	3331	6612
67	3382	6565
68	3432	6516
69	3483	6468
70	3533	6419
71	3582	6369
72	3631	6318
73	3681	6268
74	3729	6216
75	3778	6164
76	3827	6114
77	3877	6064
78	3927	6015
79	3975	5963
80	4024	5911
81	4074	5862
82	4122	5811
83	4172	5761
84	4220	5709
85	4269	5659
86	4317	5607
87	4367	5558
88	4418	5511
89	4468	5460
90	4517	5411
91	4565	5359
92	4613	5308
93	4661	5257
94	4710	5206
95	4758	5155
96	4807	5104
97	4861	5059
98	4911	5010
99	4960	4960
100	5009	4909
101	5060	4861
102	5115	4817
103	5183	4785
104	5242	4743
105	5291	4692
106	5340	4641
107	5392	4594
108	5443	4544
109	5496	4496
110	5545	4446
111	5594	4395
112	5643	4344
113	5691	4293
114	5740	4243
115	5790	4193
116	5840	4143
117	5890	4093
118	5940	4043
119	5992	3994
120	6043	3945
121	6093	3895
122	6143	3846
123	6192	3795
124	6241	3744
125	6290	3694
126	6339	3643
127	6389	3594
128	6441	3545
129	6491	3495
130	6540	3445
131	6589	3394
132	6637	3343
133	6685	3292
134	6733	3242
135	6782	3191
136	6831	3141
137	6880	3091
138	6929	3041
139	6979	2991
140	7027	2940
141	7077	2890
142	7126	2840
143	7175	2790
144	7224	2740
145	7274	2690
146	7323	2640
147	7373	2590
148	7424	2541
149	7472	2490
150	7521	2440
151	7569	2390
152	7618	2340
153	7666	2289
154	7714	2239
155	7763	2189
156	7811	2139
157	7860	2089
158	7909	2039
159	7960	1990
160	8010	1940
161	8060	1890
162	8110	1841
163	8160	1791
164	8209	1741
165	8260	1691
166	8309	1641
167	8358	1592
168	8410	1542
169	8460	1492
170	8509	1443
171	8559	1393
172	8608	1343
173	8658	1293
174	8707	1243
175	8757	1194
176	8806	1144
177	8856	1094
178	8906	1044
179	8956	995
180	9006	945
181	9059	895
182	9109	846
183	9160	796
184	9213	747
185	9262	697
186	9312	647
187	9338	596
188	9389	546
189	9442	496
190	9491	447
191	9540	397
192	9590	347
193	9639	298
194	9688	248
195	9737	198
196	9786	149
197	9810	99
198	9859	49
199	9909	0
